"country","continent","year","lifeExp","pop","gdpPercap"
"61","Australia","Oceania",1952,69.12,8691212,10039.59564
"62","Australia","Oceania",1957,70.33,9712569,10949.64959
"63","Australia","Oceania",1962,70.93,10794968,12217.22686
"64","Australia","Oceania",1967,71.1,11872264,14526.12465
"65","Australia","Oceania",1972,71.93,13177000,16788.62948
"66","Australia","Oceania",1977,73.49,14074100,18334.19751
"67","Australia","Oceania",1982,74.74,15184200,19477.00928
"68","Australia","Oceania",1987,76.32,16257249,21888.88903
"69","Australia","Oceania",1992,77.56,17481977,23424.76683
"70","Australia","Oceania",1997,78.83,18565243,26997.93657
"71","Australia","Oceania",2002,80.37,19546792,30687.75473
"72","Australia","Oceania",2007,81.235,20434176,34435.36744
